lat,lon,time
18.24471,109.50516,83
18.25644,109.50177,64
18.270708,109.48971,24
18.255726,109.49984,34
18.273108,109.48791,43
18.28639,109.5004,42
18.274515,109.50583,68
18.24593,109.51575,89
18.2888,109.4845,92
18.233238,109.50821,88
18.295242,109.530785,77
18.224768,109.51645,97
18.263353,109.496956,38
18.310652,109.416374,15
18.261566,109.49992,26
18.224714,109.51209,65
18.30833,109.425674,37
18.267612,109.49786,78
18.350399,109.73619,38
18.279444,109.49216,93
18.288439,109.52269,11
18.23167,109.630936,92
18.230795,109.62875,52
18.302034,109.49354,43
18.286697,109.491585,57
18.29132,109.7108,11
18.277517,109.575035,50
18.268393,109.48288,95
18.29649,109.60442,85
18.290556,109.413765,94
18.293028,109.430084,89
18.28215,109.47408,4
18.230944,109.63175,53
18.246016,109.49944,44
18.280512,109.52473,18
18.299208,109.39293,40
18.310091,109.60952,83
18.244062,109.513824,39
18.289234,109.49126,91
18.352226,109.73768,20
18.29095,109.38268,78
18.28812,109.485016,55
18.264776,109.51186,75
18.295918,109.59613,52
18.368084,109.634514,68
18.288614,109.43747,6
18.39618,109.741066,53
18.30293,109.392944,28
18.260378,109.50669,25
18.255898,109.618,96
18.296127,109.488686,16
18.26858,109.48269,39
18.321213,109.55821,32
18.260311,109.50671,81
18.286835,109.50004,33
18.27034,109.49042,38
18.269379,109.49869,21
18.298075,109.386375,67
19.999706,110.3086,79
18.294458,109.70883,2
18.289696,109.49511,66
18.267359,109.56773,1
18.279493,109.492455,8
18.285482,109.49461,43
18.289309,109.55037,27
18.2781,109.51028,100
18.23425,109.51508,87
18.284388,109.453514,38
18.244183,109.52003,4
18.226007,109.50542,33
18.262203,109.49929,77
18.272478,109.51311,37
18.262136,109.48971,89
18.27802,109.576126,66
18.285355,109.519516,15
18.296331,109.5335,1
18.289398,109.479935,48
18.23414,109.65419,38
18.28962,109.49277,49
18.29732,109.48843,85
18.2631,109.50885,8
18.23672,109.542435,1
18.271622,109.514015,22
18.223677,109.516624,63
18.3663,109.71029,95
18.323122,109.4585,20
18.291286,109.439186,59
18.277493,109.575066,63
18.287773,109.49918,61
18.268267,109.49927,20
18.292458,109.43665,82
18.262213,109.48946,67
18.305738,109.2056,54
18.290543,109.41364,55
18.36642,109.710304,88
18.241331,109.50538,24
18.299082,109.452705,18
18.296234,109.4911,49
18.2291,109.62444,44
18.317059,109.441216,75
18.223532,109.52036,37
18.270662,109.480316,79
18.294907,109.528854,53
18.28139,109.51051,50
18.291903,109.71067,47
18.245218,109.50505,98
18.215504,109.49363,50
18.291151,109.43916,90
18.249983,109.50668,60
18.281982,109.574974,2
18.309496,109.42052,32
18.267906,109.49812,34
18.30002,109.44159,3
18.289335,109.47878,29
18.230183,109.50193,100
18.29068,109.4043,91
18.282475,109.57297,5
18.225393,109.51992,52
18.231894,109.49759,22
18.28353,109.58838,100
18.255484,109.51706,89
18.266424,109.4986,72
